PO Number,PO Date,Buyer Name,Buyer Email,Purchasing Manager Name,Purchasing Manager Email,Vendor,Item Description,Quantity,Unit Price,Total Amount
PO89895,2025-07-14,Andre Warren,andre.warren@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,EpsilonGoods,Direction Vote,49,388.44,19033.56
PO06398,2025-02-06,Chloe Anderson,chloe.anderson@epsilongoods.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,AlphaTech,Property Million,96,87.32,8382.72
PO78262,2025-07-05,Shannon Smith,shannon.smith@alphatech.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Four Throw,76,110.35,8386.6
PO32672,2025-05-09,Shannon Smith,shannon.smith@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Fire Tax,23,495.9,11405.7
PO25571,2025-05-11,Vicki Moon,vicki.moon@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,AlphaTech,Power Party,67,464.7,31134.9
PO10026,2025-07-17,Pamela Salazar,pamela.salazar@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,EpsilonGoods,Crime Suggest,29,418.6,12139.4
PO55995,2025-01-06,Andre Warren,andre.warren@alphatech.com,Leslie James,leslie.james@gammaind.com,GammaIndustries,By Arrive,4,450.99,1803.96
PO58540,2024-08-03,Pamela Salazar,pamela.salazar@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,AlphaTech,Company Very,49,376.39,18443.11
PO19415,2025-03-16,Pamela Salazar,pamela.salazar@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,EpsilonGoods,Politics Seven,77,101.12,7786.24
PO99589,2024-12-04,Laura Tanner,laura.tanner@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,BetaCorp,Office Might,59,257.17,15173.03
PO15165,2025-03-24,Brandon Smith,brandon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,AlphaTech,Response Across,88,337.14,29668.32
PO37115,2025-05-04,Matthew Cunningham,matthew.cunningham@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,BetaCorp,Could Sing,97,229.08,22220.76
PO02787,2024-10-12,Kayla Sharp,kayla.sharp@gammaind.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Six Edge,77,27.33,2104.41
PO08733,2024-09-20,Andre Warren,andre.warren@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,EpsilonGoods,Activity News,12,130.47,1565.64
PO78755,2025-05-07,Shannon Smith,shannon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,EpsilonGoods,How May,99,244.86,24241.14
PO94281,2024-08-21,Brian Edwards,brian.edwards@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Wait Detail,96,423.92,40696.32
PO46989,2025-02-10,Kenneth Atkins,kenneth.atkins@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,AlphaTech,Place Region,16,122.08,1953.28
PO42099,2025-06-28,Vicki Moon,vicki.moon@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,AlphaTech,Car Improve,80,380.48,30438.4
PO85483,2025-05-14,Shannon Smith,shannon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,BetaCorp,Life Mouth,76,464.03,35266.28
PO27196,2025-02-22,Vicki Moon,vicki.moon@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,EpsilonGoods,Design Example,74,330.37,24447.38
PO17830,2024-08-20,Renee Nichols,renee.nichols@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,EpsilonGoods,Heavy Building,70,246.11,17227.7
PO21900,2024-10-02,Brian Edwards,brian.edwards@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,GammaIndustries,Pretty Guess,83,350.38,29081.54
PO42683,2024-09-17,Brandon Smith,brandon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Usually Term,84,344.71,28955.64
PO41827,2024-12-26,Andre Warren,andre.warren@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,Party Find,67,162.52,10888.84
PO65161,2024-10-16,Kenneth Atkins,kenneth.atkins@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,AlphaTech,Human Seat,7,188.98,1322.86
PO83655,2024-11-28,Pamela Salazar,pamela.salazar@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,GammaIndustries,Grow To,59,483.03,28498.77
PO37260,2024-12-25,Helen Perez,helen.perez@deltasup.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,AlphaTech,Scientist Onto,75,452.16,33912.0
PO69131,2025-07-05,Laura Tanner,laura.tanner@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,GammaIndustries,Whether Wrong,79,339.56,26825.24
PO89265,2025-04-17,Shannon Smith,shannon.smith@alphatech.com,Leslie James,leslie.james@gammaind.com,GammaIndustries,Doctor Election,94,184.28,17322.32
PO92155,2025-05-04,Vicki Moon,vicki.moon@betacorp.com,Leslie James,leslie.james@gammaind.com,AlphaTech,Recently Road,92,75.89,6981.88
PO51635,2025-06-30,Helen Perez,helen.perez@deltasup.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Protect Human,99,335.9,33254.1
PO32280,2024-09-01,Shannon Smith,shannon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,GammaIndustries,Forget Him,93,307.89,28633.77
PO94196,2025-03-19,Andre Warren,andre.warren@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,EpsilonGoods,Free Impact,17,437.78,7442.26
PO24938,2024-07-31,Helen Perez,helen.perez@deltasup.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Itself Become,92,348.7,32080.4
PO03306,2025-06-30,Kayla Sharp,kayla.sharp@gammaind.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,DeltaSupplies,When Information,44,218.6,9618.4
PO47446,2025-04-19,Shannon Smith,shannon.smith@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,AlphaTech,Knowledge Hold,3,298.55,895.65
PO73741,2025-07-25,Chloe Anderson,chloe.anderson@epsilongoods.com,Leslie James,leslie.james@gammaind.com,GammaIndustries,Dinner Cup,71,375.76,26678.96
PO63219,2024-09-21,Helen Perez,helen.perez@deltasup.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Brother Six,81,137.78,11160.18
PO10076,2025-02-21,Brandon Smith,brandon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,DeltaSupplies,Mrs Personal,98,144.04,14115.92
PO60279,2025-05-23,Laura Tanner,laura.tanner@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,GammaIndustries,However Later,41,24.12,988.92
PO86463,2024-12-09,Laura Tanner,laura.tanner@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Person Career,61,76.76,4682.36
PO39661,2024-10-17,Renee Nichols,renee.nichols@alphatech.com,Leslie James,leslie.james@gammaind.com,AlphaTech,So A,89,162.33,14447.37
PO63404,2025-06-14,Laura Tanner,laura.tanner@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,AlphaTech,Support As,76,87.32,6636.32
PO49476,2024-08-05,Shannon Smith,shannon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Work Among,59,300.53,17731.27
PO41937,2025-06-27,Shannon Smith,shannon.smith@alphatech.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Moment Test,14,295.49,4136.86
PO25348,2024-10-03,Brandon Smith,brandon.smith@alphatech.com,Leslie James,leslie.james@gammaind.com,GammaIndustries,Result Spend,66,485.95,32072.7
PO01696,2024-12-12,Chloe Anderson,chloe.anderson@epsilongoods.com,Terry Peterson,terry.peterson@epsilongoods.com,AlphaTech,Recognize Too,42,51.45,2160.9
PO74305,2024-09-16,Andre Warren,andre.warren@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,BetaCorp,Experience Too,36,122.81,4421.16
PO50937,2025-03-28,Laura Tanner,laura.tanner@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Expert Choice,38,11.06,420.28
PO69945,2025-03-25,Brian Edwards,brian.edwards@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,DeltaSupplies,Effect Movie,90,237.56,21380.4
PO83606,2025-04-08,Matthew Cunningham,matthew.cunningham@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,But Fear,85,380.76,32364.6
PO62607,2025-05-25,Shannon Smith,shannon.smith@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,BetaCorp,Develop Describe,78,162.2,12651.6
PO22395,2024-11-30,Shannon Smith,shannon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Night Writer,14,111.34,1558.76
PO20721,2024-09-16,Brian Edwards,brian.edwards@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,AlphaTech,Little Alone,55,364.65,20055.75
PO25463,2025-01-28,Brian Edwards,brian.edwards@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,BetaCorp,Reality Prevent,76,391.14,29726.64
PO15437,2024-10-04,Chloe Anderson,chloe.anderson@epsilongoods.com,Katherine Lee,katherine.lee@alphatech.com,EpsilonGoods,Life At,52,170.62,8872.24
PO66070,2024-09-25,Helen Perez,helen.perez@deltasup.com,Katherine Lee,katherine.lee@alphatech.com,BetaCorp,House Message,71,422.49,29996.79
PO34787,2025-02-13,Brian Edwards,brian.edwards@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,EpsilonGoods,Majority Quite,92,163.29,15022.68
PO24852,2025-05-05,Pamela Salazar,pamela.salazar@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Heart Make,80,108.75,8700.0
PO41425,2025-01-06,Kenneth Atkins,kenneth.atkins@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,DeltaSupplies,Rise Budget,48,47.44,2277.12
PO54672,2025-01-05,Vicki Moon,vicki.moon@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,DeltaSupplies,Doctor Expert,28,292.28,8183.84
PO38680,2025-07-03,Chloe Anderson,chloe.anderson@epsilongoods.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,BetaCorp,Fast Prove,93,428.32,39833.76
